Measurement_Id,Price_95,Price_98,Price_ON,Price_ON_Plus,Price_LPG
1,5.75,6.41,5.82,6.17,2.65          
2,5.75,6.41,5.82,6.17,2.65
3,5.75,6.41,5.82,6.17,2.65
4,5.75,6.41,5.82,6.17,2.65
5,5.75,6.41,5.82,6.17,2.65
6,5.75,6.41,5.82,6.17,2.65
7,5.75,6.41,5.82,6.17,2.65
8,5.75,6.41,5.82,6.17,2.65
9,5.75,6.41,5.82,6.17,2.65
10,5.75,6.41,5.82,6.17,2.65
11,5.75,6.41,5.82,6.17,2.65
12,5.75,6.41,5.82,6.17,2.65
13,5.75,6.41,5.82,6.17,2.65
14,5.75,6.41,5.82,6.17,2.65
15,5.75,6.41,5.82,6.17,2.65
16,5.75,6.41,5.82,6.17,2.65
17,5.75,6.41,5.82,6.17,2.65
18,5.75,6.41,5.82,6.17,2.65
19,5.75,6.41,5.82,6.17,2.65
20,5.75,6.41,5.82,6.17,2.65
21,5.75,6.41,5.82,6.17,2.65
22,5.75,6.41,5.82,6.17,2.65
23,5.75,6.41,5.82,6.17,2.65
24,5.75,6.41,5.82,6.17,2.65
25,5.75,6.41,5.82,6.17,2.65
26,5.75,6.41,5.82,6.17,2.65
27,5.75,6.41,5.82,6.17,2.65
28,5.75,6.41,5.82,6.17,2.65
29,5.75,6.41,5.82,6.17,2.65
30,5.75,6.41,5.82,6.17,2.65
31,5.75,6.41,5.82,6.17,2.65
32,5.75,6.41,5.82,6.17,2.65
33,5.75,6.41,5.82,6.17,2.65
34,5.75,6.41,5.82,6.17,2.65
35,5.75,6.41,5.82,6.17,2.65
36,5.75,6.41,5.82,6.17,2.65
37,5.75,6.41,5.82,6.17,2.65
38,5.75,6.41,5.82,6.17,2.65
39,5.75,6.41,5.82,6.17,2.65
40,5.75,6.41,5.82,6.17,2.65
41,5.75,6.41,5.82,6.17,2.65
42,5.75,6.41,5.82,6.17,2.65
43,5.75,6.41,5.82,6.17,2.65
44,5.75,6.41,5.82,6.17,2.65
45,5.75,6.41,5.82,6.17,2.65
46,5.75,6.41,5.82,6.17,2.65
47,5.75,6.41,5.82,6.17,2.65
48,5.75,6.41,5.82,6.17,2.65
49,5.75,6.41,5.82,6.17,2.65
50,5.75,6.41,5.82,6.17,2.65
51,5.75,6.41,5.82,6.17,2.65
52,5.75,6.41,5.82,6.17,2.65
53,5.75,6.41,5.82,6.17,2.65
54,5.75,6.41,5.82,6.17,2.65
55,5.75,6.41,5.82,6.17,2.65
56,5.75,6.41,5.82,6.17,2.65
57,5.75,6.41,5.82,6.17,2.65
58,5.75,6.41,5.82,6.17,2.65
59,5.75,6.41,5.82,6.17,2.65
60,5.75,6.41,5.82,6.17,2.65
61,5.75,6.41,5.82,6.17,2.65
62,5.75,6.41,5.82,6.17,2.65
63,5.75,6.41,5.82,6.17,2.65
64,5.75,6.41,5.82,6.17,2.65
65,5.75,6.41,5.82,6.17,2.65
66,5.75,6.41,5.82,6.17,2.65
67,5.75,6.41,5.82,6.17,2.65
68,5.75,6.41,5.82,6.17,2.65
69,5.75,6.41,5.82,6.17,2.65
70,5.75,6.41,5.82,6.17,2.65
71,5.75,6.41,5.82,6.17,2.65
72,5.75,6.41,5.82,6.17,2.65
73,5.75,6.41,5.82,6.17,2.65
74,5.75,6.41,5.82,6.17,2.65
75,5.75,6.41,5.82,6.17,2.65
76,5.75,6.41,5.82,6.17,2.65
77,5.75,6.41,5.82,6.17,2.65
78,5.75,6.41,5.82,6.17,2.65
79,5.75,6.41,5.82,6.17,2.65
80,5.75,6.41,5.82,6.17,2.65
81,5.75,6.41,5.82,6.17,2.65
82,5.75,6.41,5.82,6.17,2.65
83,5.75,6.41,5.82,6.17,2.65
84,5.75,6.41,5.82,6.17,2.65
85,5.75,6.41,5.82,6.17,2.65
86,5.75,6.41,5.82,6.17,2.65
87,5.75,6.41,5.82,6.17,2.65
88,5.75,6.41,5.82,6.17,2.65
89,5.75,6.41,5.82,6.17,2.65
90,5.75,6.41,5.82,6.17,2.65
91,5.75,6.41,5.82,6.17,2.65
92,5.75,6.41,5.82,6.17,2.65
93,5.75,6.41,5.82,6.17,2.65
94,5.75,6.41,5.82,6.17,2.65
95,5.75,6.41,5.82,6.17,2.65
96,5.75,6.41,5.82,6.17,2.65
97,5.75,6.41,5.82,6.17,2.65
98,5.75,6.41,5.82,6.17,2.65
99,5.75,6.41,5.82,6.17,2.65
100,5.75,6.41,5.82,6.17,2.65
101,5.75,6.41,5.82,6.17,2.65
102,5.75,6.41,5.82,6.17,2.65
103,5.75,6.41,5.82,6.17,2.65
104,5.75,6.41,5.82,6.17,2.65
105,5.75,6.41,5.82,6.17,2.65
106,5.75,6.41,5.82,6.17,2.65
107,5.75,6.41,5.82,6.17,2.65
108,5.75,6.41,5.82,6.17,2.65
109,5.75,6.41,5.82,6.17,2.65
110,5.75,6.41,5.82,6.17,2.65
