Measurement_Id,Route_Id,Direction,Date,Day_Of_Week,Measurement_Time
1,1,A,2025-07-01,Tuesday,00:00
2,2,A,2025-07-01,Tuesday,00:00
3,3,A,2025-07-01,Tuesday,00:00
4,4,A,2025-07-01,Tuesday,00:00
5,5,A,2025-07-01,Tuesday,00:00
6,1,B,2025-07-01,Tuesday,00:00
7,2,B,2025-07-01,Tuesday,00:00
8,3,B,2025-07-01,Tuesday,00:00
9,4,B,2025-07-01,Tuesday,00:00
10,5,B,2025-07-01,Tuesday,00:00
11,1,A,2025-07-01,Tuesday,00:10
12,2,A,2025-07-01,Tuesday,00:10
13,3,A,2025-07-01,Tuesday,00:10
14,4,A,2025-07-01,Tuesday,00:10
15,5,A,2025-07-01,Tuesday,00:10
16,1,B,2025-07-01,Tuesday,00:10
17,2,B,2025-07-01,Tuesday,00:10
18,3,B,2025-07-01,Tuesday,00:10
19,4,B,2025-07-01,Tuesday,00:10
20,5,B,2025-07-01,Tuesday,00:10
21,1,A,2025-07-01,Tuesday,00:20
22,2,A,2025-07-01,Tuesday,00:20
23,3,A,2025-07-01,Tuesday,00:20
24,4,A,2025-07-01,Tuesday,00:20
25,5,A,2025-07-01,Tuesday,00:20
26,1,B,2025-07-01,Tuesday,00:20
27,2,B,2025-07-01,Tuesday,00:20
28,3,B,2025-07-01,Tuesday,00:20
29,4,B,2025-07-01,Tuesday,00:20
30,5,B,2025-07-01,Tuesday,00:20
31,1,A,2025-07-01,Tuesday,00:30
32,2,A,2025-07-01,Tuesday,00:30
33,3,A,2025-07-01,Tuesday,00:30
34,4,A,2025-07-01,Tuesday,00:30
35,5,A,2025-07-01,Tuesday,00:30
36,1,B,2025-07-01,Tuesday,00:30
37,2,B,2025-07-01,Tuesday,00:30
38,3,B,2025-07-01,Tuesday,00:30
39,4,B,2025-07-01,Tuesday,00:30
40,5,B,2025-07-01,Tuesday,00:30
41,1,A,2025-07-01,Tuesday,00:40
42,2,A,2025-07-01,Tuesday,00:40
43,3,A,2025-07-01,Tuesday,00:40
44,4,A,2025-07-01,Tuesday,00:40
45,5,A,2025-07-01,Tuesday,00:40
