Measurement_Id,Duration_Min,Delay_Min
1,42,2
2,39,2
3,39,4
4,43,3
5,44,4
11,41,1
12,37,0
13,36,1
14,41,1
15,42,2
21,41,1
22,37,0
23,36,1
24,41,1
25,42,2
31,41,1
32,37,0
33,36,1
34,41,1
35,42,2
41,41,1
42,37,0
43,36,1
44,41,1
45,42,2
51,41,1
52,37,0
53,36,1
54,41,1
55,41,1
61,41,1
62,37,0
63,36,1
64,41,1
65,42,2
71,40,0
72,37,0
73,35,0
74,40,0
75,41,1
81,40,0
82,37,0
83,35,0
84,40,0
85,41,1
91,40,0
92,37,0
93,35,0
94,40,0
95,41,1
101,40,0
102,37,0
103,35,0
104,40,0
105,41,1
111,40,0
112,37,0
113,35,0
114,40,0
115,41,1
121,40,0
122,37,0
123,35,0
124,40,0
125,41,1
131,40,0
132,37,0
133,36,1
134,40,0
135,41,1
141,40,0
142,37,0
143,36,1
144,40,0
145,41,1
151,40,0
152,37,0
153,36,1
154,40,0
155,41,1
161,40,0
162,37,0
163,36,1
164,40,0
165,41,1
171,40,0
172,37,0
173,36,1
174,40,0
175,41,1
181,40,0
182,37,0
183,36,1
184,40,0
185,41,1
191,41,1
192,37,0
193,36,1
194,41,1
195,42,2
201,41,1
202,37,0
203,36,1
204,41,1
205,42,2
211,41,1
212,37,0
213,36,1
214,41,1
215,42,2
221,41,1
222,38,1
223,37,2
224,41,1
225,42,2
231,41,1
232,38,1
233,37,2
234,41,1
235,42,2
241,41,1
242,38,1
243,37,2
244,41,1
245,42,2
251,41,1
252,38,1
253,36,1
254,41,1
255,42,2
261,41,1
262,38,1
263,37,2
264,41,1
265,42,2
271,41,1
272,38,1
273,37,2
274,41,1
275,42,2
281,41,1
282,38,1
283,37,2
284,41,1
285,42,2
291,41,1
292,38,1
293,37,2
294,42,2
295,42,2
301,41,1
302,38,1
303,37,2
304,42,2
305,42,2
311,42,2
312,39,2
313,38,3
314,42,2
315,43,3
321,42,2
322,39,2
323,38,3
324,43,3
325,43,3
331,42,2
332,40,3
333,39,4
334,44,4
335,44,4
341,43,3
342,41,4
343,40,5
344,44,4
345,44,4
351,43,3
352,43,6
353,41,6
354,45,5
355,46,6
361,44,4
362,43,6
363,42,7
364,47,7
365,47,7
371,45,5
372,47,10
373,44,9
374,49,9
375,48,8
381,46,6
382,48,11
383,45,10
384,50,10
385,52,12
391,47,7
392,49,12
393,47,12
394,52,12
395,54,14
401,50,10
402,50,13
403,48,13
404,53,13
405,57,17
411,51,11
412,51,14
413,49,14
414,54,14
415,65,25
421,55,15
422,51,14
423,51,16
424,55,15
425,65,25
431,52,12
432,52,15
433,51,16
434,56,16
435,63,23
441,52,12
442,52,15
443,52,17
444,56,16
445,58,18
451,52,12
452,52,15
453,52,17
454,56,16
455,61,21
461,53,13
462,52,15
463,51,16
464,56,16
465,58,18
471,55,15
472,54,17
473,51,16
474,55,15
475,61,21
481,52,12
482,51,14
483,50,15
484,55,15
485,66,26
491,49,9
492,48,11
493,47,12
494,52,12
495,57,17
501,48,8
502,48,11
503,47,12
504,51,11
505,56,16
511,48,8
512,49,12
513,46,11
514,51,11
515,56,16
521,47,7
522,49,12
523,46,11
524,50,10
525,56,16
531,47,7
532,48,11
533,45,10
534,50,10
535,56,16
541,47,7
542,47,10
543,45,10
544,50,10
545,54,14
551,46,6
552,47,10
553,45,10
554,50,10
555,50,10
561,46,6
562,47,10
563,45,10
564,50,10
565,49,9
571,46,6
572,47,10
573,45,10
574,49,9
575,49,9
581,46,6
582,47,10
583,44,9
584,49,9
585,52,12
591,46,6
592,47,10
593,44,9
594,49,9
595,50,10
601,46,6
602,49,12
603,44,9
604,49,9
605,49,9
611,47,7
612,49,12
613,45,10
614,53,13
615,49,9
621,47,7
622,47,10
623,45,10
624,50,10
625,49,9
631,47,7
632,48,11
633,45,10
634,50,10
635,50,10
641,47,7
642,48,11
643,45,10
644,50,10
645,49,9
651,47,7
652,48,11
653,45,10
654,50,10
655,49,9
661,47,7
662,47,10
663,45,10
664,50,10
665,49,9
671,47,7
672,48,11
673,46,11
674,50,10
675,49,9
681,47,7
682,49,12
683,46,11
684,50,10
685,49,9
691,47,7
692,48,11
693,46,11
694,50,10
695,49,9
701,47,7
702,49,12
703,46,11
704,50,10
705,49,9
711,47,7
712,49,12
713,46,11
714,50,10
715,49,9
721,47,7
722,48,11
723,46,11
724,50,10
725,50,10
731,47,7
732,49,12
733,45,10
734,50,10
735,50,10
741,47,7
742,48,11
743,45,10
744,50,10
745,50,10
751,47,7
752,49,12
753,45,10
754,50,10
755,50,10
761,47,7
762,49,12
763,45,10
764,50,10
765,50,10
771,47,7
772,49,12
773,45,10
774,50,10
775,50,10
781,47,7
782,51,14
783,45,10
784,50,10
785,51,11
791,47,7
792,50,13
793,45,10
794,50,10
795,51,11
801,47,7
802,49,12
803,45,10
804,50,10
805,50,10
811,47,7
812,48,11
813,45,10
814,50,10
815,50,10
821,47,7
822,48,11
823,46,11
824,51,11
825,50,10
831,47,7
832,48,11
833,46,11
834,51,11
835,50,10
841,47,7
842,49,12
843,46,11
844,51,11
845,52,12
851,48,8
852,50,13
853,47,12
854,52,12
855,52,12
861,48,8
862,52,15
863,51,16
864,55,15
865,55,15
871,48,8
872,53,16
873,51,16
874,56,16
875,55,15
881,49,9
882,53,16
883,48,13
884,52,12
885,53,13
891,49,9
892,52,15
893,48,13
894,53,13
895,52,12
901,49,9
902,51,14
903,48,13
904,53,13
905,52,12
911,50,10
912,53,16
913,50,15
914,54,14
915,54,14
921,56,16
922,53,16
923,50,15
924,54,14
925,63,23
931,52,12
932,53,16
933,50,15
934,55,15
935,65,25
941,52,12
942,53,16
943,50,15
944,55,15
945,55,15
951,53,13
952,54,17
953,50,15
954,55,15
