Measurement_Id,Duration_Min,Delay_Min
6,39,2
7,33,1
8,37,3
9,41,3
10,43,4
16,38,1
17,32,0
18,35,1
19,39,1
20,41,2
26,38,1
27,32,0
28,35,1
29,39,1
30,41,2
36,38,1
37,32,0
38,35,1
39,39,1
40,41,2
46,38,1
47,32,0
48,35,1
49,39,1
50,41,2
56,38,1
57,32,0
58,35,1
59,39,1
60,40,1
66,38,1
67,32,0
68,35,1
69,39,1
70,40,1
76,37,0
77,32,0
78,34,0
79,38,0
80,40,1
86,38,1
87,32,0
88,34,0
89,38,0
90,40,1
96,37,0
97,32,0
98,34,0
99,38,0
100,40,1
106,37,0
107,32,0
108,34,0
109,38,0
110,40,1
116,38,1
117,32,0
118,34,0
119,38,0
120,41,2
126,38,1
127,32,0
128,34,0
129,38,0
130,40,1
136,38,1
137,32,0
138,34,0
139,38,0
140,40,1
146,38,1
147,32,0
148,34,0
149,38,0
150,40,1
156,37,0
157,32,0
158,34,0
159,38,0
160,40,1
166,37,0
167,32,0
168,34,0
169,38,0
170,40,1
176,37,0
177,32,0
178,34,0
179,38,0
180,40,1
186,37,0
187,32,0
188,34,0
189,38,0
190,40,1
196,38,1
197,32,0
198,35,1
199,39,1
200,41,2
206,38,1
207,32,0
208,35,1
209,39,1
210,40,1
216,38,1
217,32,0
218,35,1
219,39,1
220,41,2
226,38,1
227,32,0
228,35,1
229,39,1
230,41,2
236,38,1
237,32,0
238,35,1
239,39,1
240,41,2
246,38,1
247,32,0
248,35,1
249,40,2
250,41,2
256,38,1
257,32,0
258,35,1
259,39,1
260,40,1
266,38,1
267,32,0
268,35,1
269,39,1
270,40,1
276,38,1
277,32,0
278,35,1
279,39,1
280,41,2
286,39,2
287,33,1
288,35,1
289,40,2
290,41,2
296,38,1
297,33,1
298,35,1
299,40,2
300,41,2
306,38,1
307,33,1
308,35,1
309,40,2
310,41,2
316,38,1
317,33,1
318,36,2
319,40,2
320,41,2
326,39,2
327,33,1
328,36,2
329,40,2
330,42,3
336,39,2
337,34,2
338,36,2
339,41,3
340,42,3
346,39,2
347,35,3
348,36,2
349,41,3
350,42,3
356,39,2
357,35,3
358,37,3
359,42,4
360,43,4
366,40,3
367,36,4
368,37,3
369,43,5
370,43,4
376,41,4
377,38,6
378,39,5
379,44,6
380,44,5
386,42,5
387,38,6
388,40,6
389,45,7
390,44,5
396,42,5
397,39,7
398,40,6
399,46,8
400,45,6
406,43,6
407,40,8
408,41,7
409,47,9
410,45,6
416,43,6
417,41,9
418,42,8
419,51,13
420,46,7
426,43,6
427,42,10
428,43,9
429,51,13
430,46,7
436,44,7
437,42,10
438,44,10
439,53,15
440,47,8
446,45,8
447,43,11
448,44,10
449,53,15
450,48,9
456,45,8
457,43,11
458,45,11
459,52,14
460,47,8
466,46,9
467,44,12
468,45,11
469,53,15
470,48,9
476,47,10
477,46,14
478,45,11
479,53,15
480,48,9
486,46,9
487,44,12
488,45,11
489,53,15
490,48,9
496,43,6
497,42,10
498,43,9
499,50,12
500,47,8
506,43,6
507,42,10
508,43,9
509,50,12
510,46,7
516,44,7
517,41,9
518,43,9
519,48,10
520,46,7
526,43,6
527,41,9
528,43,9
529,47,9
530,47,8
536,43,6
537,41,9
538,43,9
539,47,9
540,46,7
546,43,6
547,41,9
548,42,8
549,47,9
550,46,7
556,43,6
557,40,8
558,42,8
559,47,9
560,46,7
566,43,6
567,40,8
568,45,11
569,47,9
570,47,8
576,43,6
577,40,8
578,42,8
579,47,9
580,47,8
586,43,6
587,40,8
588,42,8
589,47,9
590,46,7
596,42,5
597,40,8
598,42,8
599,47,9
600,46,7
606,43,6
607,40,8
608,42,8
609,47,9
610,47,8
616,44,7
617,41,9
618,43,9
619,47,9
620,48,9
626,43,6
627,41,9
628,43,9
629,47,9
630,46,7
636,44,7
637,41,9
638,43,9
639,48,10
640,47,8
646,43,6
647,41,9
648,44,10
649,48,10
650,47,8
656,44,7
657,42,10
658,44,10
659,48,10
660,48,9
666,43,6
667,42,10
668,44,10
669,48,10
670,48,9
676,44,7
677,42,10
678,44,10
679,48,10
680,47,8
686,44,7
687,42,10
688,45,11
689,48,10
690,47,8
696,44,7
697,42,10
698,45,11
699,48,10
700,48,9
706,44,7
