Measurement_Id,Weather_Origin,Temperature_Origin,Humidity_Origin,Rain_Origin,Snow_Origin,Visibility_Origin,Weather_Destination,Temperature_Destination,Humidity_Destination,Rain_Destination,Snow_Destination,Visibility_Destination
1,bezchmurnie,15.62,74,0,0,10000,bezchmurnie,15.76,73,0,0,10000
2,bezchmurnie,15.62,74,0,0,10000,bezchmurnie,15.76,73,0,0,10000
3,bezchmurnie,15.62,74,0,0,10000,bezchmurnie,15.76,73,0,0,10000
4,bezchmurnie,15.62,74,0,0,10000,bezchmurnie,15.76,73,0,0,10000
5,bezchmurnie,15.62,74,0,0,10000,bezchmurnie,15.76,73,0,0,10000
6,bezchmurnie,15.76,73,0,0,10000,bezchmurnie,15.62,74,0,0,10000
7,bezchmurnie,15.76,73,0,0,10000,bezchmurnie,15.62,74,0,0,10000
8,bezchmurnie,15.76,73,0,0,10000,bezchmurnie,15.62,74,0,0,10000
9,bezchmurnie,15.76,73,0,0,10000,bezchmurnie,15.62,74,0,0,10000
10,bezchmurnie,15.76,73,0,0,10000,bezchmurnie,15.62,74,0,0,10000
11,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,74,0,0,10000
12,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,74,0,0,10000
13,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,74,0,0,10000
14,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,74,0,0,10000
15,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,74,0,0,10000
16,bezchmurnie,15.29,74,0,0,10000,bezchmurnie,15.58,75,0,0,10000
17,bezchmurnie,15.29,74,0,0,10000,bezchmurnie,15.58,75,0,0,10000
18,bezchmurnie,15.29,74,0,0,10000,bezchmurnie,15.58,75,0,0,10000
19,bezchmurnie,15.29,74,0,0,10000,bezchmurnie,15.58,75,0,0,10000
20,bezchmurnie,15.29,74,0,0,10000,bezchmurnie,15.58,75,0,0,10000
21,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,75,0,0,10000
22,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,75,0,0,10000
23,bezchmurnie,15.58,75,0,0,10000,bezchmurnie,15.29,75,0,0,10000
